City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,great falls,47.5002,-111.3008,59.38,64,0,8.05,US,1715528012
348,jayapura,-2.5333,140.7,78.19,89,98,4.56,ID,1715528167
349,kulachi,31.9286,70.4592,91.29,23,0,8.5,PK,1715528242
350,antsohihy,-14.8796,47.9875,81.5,48,61,11.34,MG,1715528242
351,moyynkum,44.2914,72.9469,56.64,77,100,6.8,KZ,1715528243
352,rio preto da eva,-2.6994,-59.6997,76.41,97,99,3.98,BR,1715528243
353,nyurba,63.2842,118.3319,33.4,98,100,10.02,RU,1715528243
354,turuntayevo,52.2,107.6167,55.49,90,100,8.25,RU,1715528243
355,san luis de la loma,17.2706,-100.8939,86.63,43,10,5.75,MX,1715528243
356,lorengau,-2.0226,147.2712,80.65,85,100,5.06,PG,1715528153
357,linxia chengguanzhen,35.6003,103.2064,57.02,35,22,3.13,CN,1715528243
358,antonio enes,-16.2325,39.9086,78.55,74,1,6.89,MZ,1715528002
359,polyarnyy,69.1989,33.4478,33.94,99,100,3.22,RU,1715528152
360,woolgoolga,-30.1106,153.2007,57.07,89,5,9.82,AU,1715528243
361,hotan,37.0997,79.9269,76.24,10,71,6.51,CN,1715528243
